,Name Of The Movie,Year Of Release,IMDB Rating,Metascore,Number Of Votes,IMDB Rating Scaled to 100
0,Gladiator,2000,8.5,67,1307426,85.0
1,Memento,2000,8.4,80,1097946,84.0
2,Snatch,2000,8.3,55,766227,83.0
3,Requiem for a Dream,2000,8.3,68,747818,83.0
4,X-Men,2000,7.4,64,561823,74.0
5,Cast Away,2000,7.8,73,510471,78.0
6,American Psycho,2000,7.6,64,472506,76.0
7,Unbreakable,2000,7.3,62,379964,73.0
8,Mission: Impossible II,2000,6.1,59,308415,61.0
9,Meet the Parents,2000,7.0,73,306356,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,279365,77.0
11,Gone in Sixty Seconds,2000,6.5,35,256697,65.0
12,The Patriot,2000,7.2,63,250674,72.0
13,Wo hu cang long,2000,7.8,94,249494,78.0
14,Almost Famous,2000,7.9,90,247532,79.0
15,Scary Movie,2000,6.2,48,228217,62.0
16,Final Destination,2000,6.7,36,224750,67.0
17,Pitch Black,2000,7.1,49,222556,71.0
18,The Beach,2000,6.7,43,219254,67.0
19,Amores perros,2000,8.1,83,219193,81.0
20,"Me, Myself & Irene",2000,6.6,49,218998,66.0
21,How the Grinch Stole Christmas,2000,6.2,46,198367,62.0
22,Remember the Titans,2000,7.8,48,194277,78.0
23,Traffic,2000,7.6,86,193125,76.0
24,What Women Want,2000,6.4,47,188649,64.0
25,Miss Congeniality,2000,6.2,43,182938,62.0
26,Chocolat,2000,7.2,64,175254,72.0
27,The Emperor's New Groove,2000,7.3,70,175109,73.0
28,Chicken Run,2000,7.0,88,173928,70.0
29,Charlie's Angels,2000,5.5,52,173574,55.0
30,Erin Brockovich,2000,7.3,73,170646,73.0
31,Batoru rowaiaru,2000,7.6,81,166387,76.0
32,High Fidelity,2000,7.5,79,165475,75.0
33,Road Trip,2000,6.4,55,155318,64.0
34,The Perfect Storm,2000,6.4,59,153935,64.0
35,"Dude, Where's My Car?",2000,5.5,30,132933,55.0
36,Billy Elliot,2000,7.7,74,123998,77.0
37,Hollow Man,2000,5.8,24,121855,58.0
38,Scream 3,2000,5.6,56,121083,56.0
39,Fa yeung nin wah,2000,8.1,85,119069,81.0
40,Shanghai Noon,2000,6.6,77,117536,66.0
41,What Lies Beneath,2000,6.6,51,116016,66.0
42,The 6th Day,2000,5.9,49,115066,59.0
43,Pay It Forward,2000,7.2,40,111336,72.0
44,The Whole Nine Yards,2000,6.7,47,108536,67.0
45,Men of Honor,2000,7.2,56,105439,72.0
46,Coyote Ugly,2000,5.7,27,105182,57.0
47,The Family Man,2000,6.8,42,101202,68.0
48,Dancer in the Dark,2000,8.0,61,100044,80.0
49,Frequency,2000,7.3,67,99419,73.0
50,Little Nicky,2000,5.3,38,96397,53.0
51,Bedazzled,2000,6.0,49,95264,60.0
52,The Cell,2000,6.3,40,93874,63.0
53,Malèna,2000,7.5,54,87727,75.0
54,Bring It On,2000,6.0,52,85664,60.0
55,The Road to El Dorado,2000,6.9,51,82163,69.0
56,Finding Forrester,2000,7.3,62,81512,73.0
57,Big Momma's House,2000,5.2,33,79786,52.0
58,U-571,2000,6.6,62,75714,66.0
59,Battlefield Earth,2000,2.5,9,75192,25.0
60,Shaft,2000,5.9,50,72441,59.0
61,Space Cowboys,2000,6.4,73,72378,64.0
62,Mission to Mars,2000,5.7,34,69544,57.0
63,Romeo Must Die,2000,6.1,52,65999,61.0
64,The Gift,2000,6.6,62,62345,66.0
65,Wonder Boys,2000,7.2,73,60545,72.0
66,Titan A.E.,2000,6.6,48,58045,66.0
67,Vertical Limit,2000,5.9,48,57807,59.0
68,The Replacements,2000,6.6,30,57236,66.0
69,Les rivières pourpres,2000,6.9,49,56995,69.0
70,Red Planet,2000,5.7,34,54698,57.0
71,Best in Show,2000,7.4,78,54421,74.0
72,Proof of Life,2000,6.2,45,54361,62.0
73,Sexy Beast,2000,7.3,79,54065,73.0
74,Thirteen Days,2000,7.3,67,53080,73.0
75,The Legend of Bagger Vance,2000,6.7,47,52763,67.0
76,Dinosaur,2000,6.5,56,51922,65.0
77,Quills,2000,7.3,70,50908,73.0
78,Keeping the Faith,2000,6.3,60,49318,63.0
79,Nueve reinas,2000,7.9,80,48794,79.0
80,Boiler Room,2000,7.0,63,48438,70.0
81,Nutty Professor II: The Klumps,2000,4.4,38,47631,44.0
82,Rules of Engagement,2000,6.4,45,43770,64.0
83,28 Days,2000,6.1,46,43644,61.0
84,Ginger Snaps,2000,6.8,70,40869,68.0
85,The Kid,2000,6.1,45,39685,61.0
86,Shadow of the Vampire,2000,6.9,71,39537,69.0
87,Tigerland,2000,7.0,55,37534,70.0
88,Reindeer Games,2000,5.8,37,37000,58.0
89,Small Time Crooks,2000,6.7,69,36322,67.0
90,Next Friday,2000,6.2,41,36049,62.0
91,Chopper,2000,7.2,65,35754,72.0
92,Book of Shadows: Blair Witch 2,2000,3.9,15,35235,39.0
93,102 Dalmatians,2000,4.9,35,34063,49.0
94,Nurse Betty,2000,6.1,69,32627,61.0
95,Get Carter,2000,5.2,24,32132,52.0
96,Dungeons & Dragons,2000,3.6,14,31638,36.0
97,Dracula 2000,2000,4.9,26,31590,49.0
98,The Way of the Gun,2000,6.7,49,31382,67.0
99,Where the Heart Is,2000,6.8,30,31312,68.0
100,The Skulls,2000,5.6,24,30610,56.0
101,Vampire Hunter D: Bloodlust,2000,7.7,62,28580,77.0
102,The Art of War,2000,5.7,30,28360,57.0
103,You Can Count on Me,2000,7.5,85,27595,75.0
104,Pollock,2000,7.0,77,26567,70.0
105,Loser,2000,5.3,35,26299,53.0
106,Gongdong gyeongbi guyeok JSA,2000,7.8,58,25560,78.0
107,The Watcher,2000,5.3,22,25520,53.0
108,Autumn in New York,2000,5.7,24,24501,57.0
109,Before Night Falls,2000,7.2,85,23660,72.0
110,The Contender,2000,6.9,59,22507,69.0
111,Under Suspicion,2000,6.5,43,22012,65.0
112,Brother,2000,7.2,47,21452,72.0
113,The Flintstones in Viva Rock Vegas,2000,3.6,27,21213,36.0
114,Im Juli,2000,7.7,71,20645,77.0
115,The Million Dollar Hotel,2000,5.9,25,20566,59.0
116,Tillsammans,2000,7.4,84,20303,74.0
117,State and Main,2000,6.7,75,20215,67.0
118,Bounce,2000,5.7,52,19811,57.0
119,Yi yi,2000,8.2,93,19736,82.0
120,The Yards,2000,6.4,58,19628,64.0
121,Return to Me,2000,6.9,54,19345,69.0
122,Highlander: Endgame,2000,4.6,21,19124,46.0
123,The Adventures of Rocky & Bullwinkle,2000,4.2,36,19090,42.0
124,My Dog Skip,2000,7.0,61,19066,70.0
125,Blinkende lygter,2000,7.7,47,18808,77.0
126,Center Stage,2000,6.7,52,18680,67.0
127,Love & Basketball,2000,7.2,70,18071,72.0
128,Dr. T & the Women,2000,4.6,64,17514,46.0
129,Saving Grace,2000,6.9,62,17360,69.0
130,Sånger från andra våningen,2000,7.6,77,17173,76.0
131,Supernova,2000,4.9,19,16882,49.0
132,The Tigger Movie,2000,6.3,53,16846,63.0
133,Baise-moi,2000,4.4,35,16586,44.0
134,Boys and Girls,2000,5.4,29,15808,54.0
135,Urban Legends: Final Cut,2000,4.3,16,15781,43.0
136,The Dish,2000,7.1,74,15122,71.0
137,Gossip,2000,5.9,31,14270,59.0
138,Down to You,2000,5.0,13,14187,50.0
139,The Man Who Cried,2000,6.2,40,14032,62.0
140,Der Krieger und die Kaiserin,2000,7.5,64,13969,75.0
141,Bless the Child,2000,5.1,17,13731,51.0
142,Ready to Rumble,2000,5.4,23,13399,54.0
143,Cecil B. Demented,2000,6.3,57,13390,63.0
144,Drowning Mona,2000,5.7,25,13004,57.0
145,Gangster No. 1,2000,6.8,60,12963,68.0
146,All the Pretty Horses,2000,5.8,55,12776,58.0
147,Italiensk for begyndere,2000,7.0,77,12652,70.0
148,Animal Factory,2000,6.6,65,12617,66.0
149,Seom,2000,7.0,61,12463,70.0
